[[[518, 59], [520, 55], [521, 55], [523, 55], [517, 56], [516, 57], [515, 58], [526, 57], [516, 61], [522, 63], [518, 64], [534, 76], [518, 80], [547, 109], [524, 114], [547, 131], [524, 131], [549, 136], [519, 130], [543, 129], [520, 130], [546, 133], [523, 133], [544, 140], [540, 140], [544, 166], [539, 162], [558, 198], [539, 193], [564, 203], [542, 199], [551, 206], [528, 203]], 0]
[[[516, 59], [516, 55], [516, 54], [517, 54], [514, 56], [513, 56], [513, 57], [519, 55], [514, 58], [519, 62], [516, 63], [519, 77], [524, 74], [524, 105], [527, 97], [520, 114], [523, 98], [517, 113], [522, 100], [517, 110], [517, 101], [519, 113], [519, 99], [536, 139], [543, 134], [540, 167], [544, 163], [552, 200], [550, 196], [557, 205], [554, 201], [546, 205], [545, 206]], 0]
[[[514, 57], [514, 53], [516, 52], [517, 52], [512, 55], [511, 56], [510, 57], [521, 53], [511, 58], [517, 60], [514, 62], [533, 68], [513, 76], [536, 94], [514, 101], [540, 116], [508, 107], [537, 120], [506, 110], [535, 120], [507, 111], [534, 119], [508, 110], [537, 124], [527, 123], [533, 160], [531, 161], [567, 202], [547, 200], [574, 206], [551, 206], [562, 217], [540, 214]], 0]
[[[511, 58], [512, 54], [513, 53], [514, 52], [509, 56], [508, 56], [508, 57], [518, 53], [509, 58], [515, 61], [511, 63], [532, 67], [511, 76], [537, 93], [511, 101], [540, 115], [507, 109], [542, 122], [506, 113], [536, 121], [506, 114], [537, 120], [506, 111], [533, 121], [524, 122], [528, 159], [530, 161], [549, 201], [541, 203], [556, 206], [545, 209], [542, 216], [535, 217]], 0]
[[[509, 58], [510, 53], [511, 52], [512, 52], [507, 55], [506, 56], [505, 56], [516, 52], [507, 57], [513, 59], [510, 62], [532, 66], [510, 74], [538, 89], [507, 96], [540, 113], [501, 109], [543, 120], [500, 113], [539, 120], [500, 113], [537, 118], [501, 112], [531, 115], [521, 119], [526, 149], [525, 148], [526, 178], [534, 191], [528, 184], [538, 197], [522, 188], [523, 193]], 0]
[[[508, 59], [507, 54], [508, 53], [509, 53], [505, 56], [505, 57], [504, 58], [513, 53], [506, 60], [512, 61], [509, 64], [522, 69], [512, 76], [529, 93], [512, 102], [522, 114], [504, 109], [523, 120], [501, 112], [518, 119], [501, 112], [518, 118], [503, 112], [535, 125], [533, 128], [523, 145], [526, 148], [525, 178], [521, 177], [530, 185], [523, 183], [511, 191], [507, 190]], 0]
[[[507, 58], [507, 53], [508, 52], [509, 52], [504, 55], [503, 56], [502, 57], [514, 52], [504, 59], [511, 60], [507, 63], [530, 66], [507, 75], [534, 90], [504, 98], [534, 113], [498, 113], [535, 120], [495, 118], [532, 120], [495, 118], [530, 116], [497, 117], [528, 119], [519, 121], [521, 154], [522, 153], [524, 180], [520, 180], [526, 185], [526, 192], [518, 190], [511, 192]], 0]
[[[504, 59], [503, 54], [504, 53], [505, 53], [501, 57], [501, 57], [500, 58], [509, 52], [502, 58], [508, 61], [505, 63], [523, 65], [506, 73], [528, 87], [505, 94], [527, 111], [496, 112], [529, 117], [494, 117], [524, 116], [493, 118], [523, 114], [495, 116], [525, 114], [519, 116], [518, 139], [522, 147], [525, 179], [523, 180], [530, 185], [526, 186], [509, 193], [509, 193]], 0]
[[[502, 60], [501, 55], [502, 54], [503, 53], [499, 57], [499, 57], [498, 58], [508, 52], [501, 58], [506, 61], [503, 64], [526, 65], [505, 75], [529, 89], [502, 96], [528, 115], [495, 117], [528, 122], [492, 122], [526, 123], [491, 124], [524, 121], [493, 121], [530, 120], [523, 123], [518, 145], [518, 148], [521, 184], [522, 189], [525, 193], [526, 196], [505, 197], [503, 194]], 0]
[[[500, 57], [500, 52], [501, 51], [502, 50], [498, 54], [497, 55], [497, 55], [507, 49], [499, 55], [504, 58], [501, 60], [521, 62], [503, 73], [529, 84], [502, 94], [530, 113], [493, 118], [532, 121], [489, 124], [528, 122], [490, 125], [526, 119], [491, 123], [534, 113], [528, 118], [515, 138], [518, 145], [520, 182], [526, 186], [525, 191], [531, 193], [503, 196], [506, 194]], 0]
[[[499, 57], [499, 52], [500, 51], [501, 50], [497, 54], [496, 55], [496, 55], [506, 50], [499, 55], [503, 59], [500, 61], [522, 61], [502, 73], [525, 85], [500, 94], [526, 112], [492, 116], [528, 120], [489, 122], [524, 121], [489, 124], [522, 119], [491, 122], [522, 109], [515, 113], [513, 136], [513, 142], [519, 182], [523, 177], [523, 189], [527, 184], [503, 198], [510, 192]], 0]
[[[497, 56], [498, 51], [499, 50], [500, 49], [496, 53], [495, 54], [495, 54], [505, 48], [498, 54], [502, 58], [499, 59], [520, 59], [502, 72], [522, 85], [500, 99], [521, 114], [494, 120], [521, 123], [492, 127], [516, 124], [492, 127], [515, 122], [493, 125], [520, 112], [512, 116], [512, 145], [514, 150], [514, 186], [529, 183], [517, 192], [534, 187], [502, 199], [521, 196]], 0]
[[[496, 56], [497, 51], [498, 50], [499, 49], [494, 53], [494, 53], [494, 53], [504, 48], [497, 53], [501, 58], [498, 59], [519, 59], [502, 70], [523, 85], [500, 96], [520, 114], [493, 118], [520, 122], [492, 125], [516, 122], [492, 126], [515, 120], [493, 124], [520, 112], [512, 115], [512, 146], [513, 148], [515, 186], [520, 183], [519, 191], [524, 189], [502, 197], [506, 194]], 0]
[[[495, 56], [495, 51], [496, 50], [497, 49], [493, 53], [493, 53], [493, 53], [502, 47], [497, 52], [499, 57], [497, 59], [517, 56], [502, 69], [524, 81], [503, 94], [521, 112], [496, 117], [521, 119], [495, 123], [517, 120], [495, 123], [516, 118], [496, 122], [518, 110], [510, 113], [512, 147], [505, 146], [520, 182], [515, 181], [522, 188], [520, 187], [508, 200], [499, 195]], 0]
[[[491, 55], [491, 51], [492, 50], [492, 50], [490, 52], [490, 52], [490, 52], [498, 48], [495, 51], [495, 57], [493, 58], [513, 57], [502, 66], [521, 81], [504, 91], [519, 109], [499, 119], [519, 118], [497, 126], [515, 118], [497, 126], [515, 116], [498, 123], [515, 112], [509, 114], [508, 149], [503, 147], [518, 186], [516, 179], [523, 190], [521, 184], [504, 197], [501, 193]], 0]
[[[490, 55], [490, 50], [490, 49], [491, 49], [489, 51], [489, 52], [489, 52], [497, 47], [493, 51], [494, 56], [493, 57], [512, 57], [501, 66], [520, 81], [504, 93], [517, 109], [499, 119], [517, 118], [499, 125], [513, 118], [497, 126], [512, 115], [498, 124], [514, 113], [508, 115], [507, 149], [500, 146], [517, 186], [516, 180], [521, 190], [520, 184], [502, 197], [500, 192]], 0]
[[[490, 54], [490, 49], [490, 48], [491, 47], [488, 51], [488, 51], [488, 51], [497, 45], [492, 51], [494, 55], [492, 57], [510, 57], [501, 64], [517, 82], [508, 93], [513, 113], [504, 118], [514, 123], [499, 127], [511, 122], [497, 128], [510, 119], [501, 124], [514, 117], [510, 118], [502, 143], [496, 141], [516, 186], [510, 182], [519, 193], [515, 187], [499, 198], [493, 193]], 0]
[[[489, 54], [489, 49], [490, 48], [491, 47], [487, 51], [487, 51], [487, 52], [495, 46], [489, 51], [493, 55], [491, 57], [508, 57], [500, 63], [516, 82], [508, 89], [512, 111], [503, 116], [513, 121], [502, 122], [509, 120], [498, 123], [509, 117], [500, 121], [512, 116], [508, 118], [503, 153], [496, 144], [510, 184], [502, 182], [513, 192], [506, 189], [495, 199], [484, 193]], 0]
