[[[534, 79], [536, 73], [538, 73], [540, 72], [533, 75], [532, 75], [531, 76], [546, 71], [536, 75], [541, 82], [537, 83], [565, 89], [545, 91], [575, 124], [547, 119], [543, 143], [535, 141], [537, 150], [528, 148], [535, 149], [528, 148], [537, 146], [532, 146], [590, 142], [576, 139], [528, 165], [528, 160], [550, 203], [547, 199], [559, 211], [553, 204], [533, 214], [526, 212]], 0]
[[[531, 80], [533, 74], [534, 73], [536, 72], [531, 75], [531, 75], [530, 75], [543, 71], [536, 74], [537, 83], [534, 84], [563, 89], [547, 95], [573, 124], [549, 124], [542, 143], [534, 145], [536, 150], [527, 152], [534, 148], [527, 150], [536, 146], [530, 148], [595, 140], [585, 142], [529, 158], [532, 158], [549, 202], [547, 201], [558, 210], [556, 208], [528, 214], [531, 214]], 0]
[[[530, 80], [532, 74], [533, 73], [535, 72], [529, 75], [529, 75], [529, 75], [541, 71], [534, 75], [536, 83], [533, 84], [560, 89], [546, 95], [571, 125], [550, 125], [541, 143], [537, 145], [536, 150], [531, 152], [533, 148], [531, 150], [536, 145], [533, 148], [595, 140], [585, 143], [528, 158], [533, 159], [550, 201], [549, 202], [558, 208], [557, 209], [529, 213], [531, 214]], 0]
[[[528, 80], [530, 74], [532, 73], [534, 72], [527, 75], [527, 75], [526, 76], [540, 71], [531, 76], [534, 83], [530, 84], [559, 90], [544, 96], [572, 125], [550, 123], [540, 143], [537, 144], [535, 150], [531, 151], [533, 147], [530, 149], [535, 145], [533, 147], [595, 141], [585, 142], [527, 160], [534, 157], [550, 202], [568, 193], [558, 210], [563, 198], [528, 214], [537, 210]], 0]
[[[527, 81], [527, 75], [529, 75], [530, 74], [525, 77], [525, 77], [524, 77], [537, 72], [530, 76], [533, 83], [529, 85], [558, 90], [542, 96], [569, 126], [548, 125], [539, 143], [536, 143], [534, 151], [529, 151], [532, 148], [529, 149], [534, 146], [532, 147], [587, 144], [577, 143], [525, 163], [529, 158], [549, 201], [548, 195], [558, 209], [557, 203], [530, 213], [534, 210]], 0]
[[[524, 82], [525, 76], [526, 76], [528, 75], [523, 78], [523, 78], [522, 78], [535, 73], [527, 77], [530, 85], [527, 86], [554, 90], [542, 95], [567, 125], [548, 123], [538, 143], [537, 142], [534, 150], [531, 148], [532, 147], [531, 147], [534, 145], [534, 145], [588, 142], [580, 140], [527, 163], [532, 156], [550, 203], [568, 188], [558, 210], [562, 194], [529, 215], [537, 207]], 0]
[[[522, 83], [523, 77], [525, 77], [526, 76], [521, 79], [520, 79], [520, 79], [533, 74], [525, 78], [529, 86], [526, 87], [554, 90], [539, 95], [565, 126], [543, 122], [536, 145], [533, 144], [532, 152], [528, 150], [530, 150], [527, 150], [532, 148], [530, 148], [586, 143], [577, 141], [527, 164], [534, 156], [549, 202], [568, 188], [558, 210], [577, 191], [529, 215], [540, 207]], 0]
[[[519, 85], [520, 79], [521, 78], [522, 78], [517, 81], [517, 81], [517, 81], [529, 76], [523, 79], [525, 87], [522, 88], [552, 92], [537, 97], [564, 127], [543, 124], [536, 146], [531, 144], [531, 153], [525, 152], [529, 150], [525, 151], [531, 148], [528, 149], [585, 143], [575, 140], [526, 165], [528, 160], [550, 202], [547, 196], [558, 209], [554, 204], [531, 214], [530, 211]], 0]
[[[516, 86], [517, 81], [518, 80], [520, 79], [515, 82], [514, 82], [514, 82], [527, 77], [520, 80], [523, 88], [520, 90], [549, 94], [534, 97], [563, 129], [540, 123], [534, 147], [530, 145], [530, 153], [524, 152], [527, 152], [523, 152], [529, 149], [527, 150], [579, 145], [569, 142], [524, 167], [525, 163], [550, 203], [545, 196], [558, 210], [553, 204], [532, 215], [528, 211]], 0]
[[[513, 88], [513, 83], [514, 82], [516, 81], [512, 84], [512, 84], [511, 84], [523, 79], [518, 82], [520, 91], [518, 92], [547, 94], [534, 98], [562, 129], [540, 124], [534, 148], [532, 143], [530, 155], [526, 150], [526, 154], [525, 150], [528, 151], [527, 148], [578, 147], [567, 143], [522, 167], [522, 164], [550, 202], [546, 196], [558, 209], [556, 203], [534, 214], [530, 211]], 0]
[[[512, 91], [512, 86], [513, 85], [514, 84], [510, 87], [509, 87], [509, 87], [521, 81], [515, 84], [519, 93], [516, 94], [543, 95], [531, 98], [561, 130], [540, 125], [532, 148], [532, 143], [527, 155], [527, 149], [524, 153], [524, 150], [526, 151], [528, 147], [576, 146], [566, 142], [523, 167], [524, 162], [550, 203], [546, 196], [559, 209], [557, 202], [535, 214], [531, 211]], 0]
[[[507, 93], [507, 88], [508, 88], [509, 87], [506, 89], [506, 89], [506, 88], [515, 84], [512, 85], [514, 96], [512, 96], [537, 98], [531, 96], [558, 129], [541, 123], [530, 148], [532, 140], [525, 155], [527, 148], [522, 153], [525, 147], [524, 151], [528, 145], [574, 146], [568, 140], [523, 166], [543, 150], [549, 202], [584, 166], [558, 209], [593, 167], [531, 213], [581, 182]], 0]
[[[504, 97], [504, 92], [504, 91], [505, 90], [503, 92], [503, 92], [503, 92], [512, 87], [508, 88], [511, 98], [509, 99], [535, 99], [529, 98], [555, 130], [544, 125], [529, 149], [532, 144], [524, 157], [529, 151], [521, 155], [527, 150], [523, 152], [529, 148], [571, 149], [566, 143], [520, 168], [525, 161], [549, 203], [552, 193], [556, 209], [555, 201], [533, 212], [532, 207]], 0]
[[[501, 99], [500, 93], [501, 93], [502, 92], [498, 94], [498, 94], [499, 94], [508, 88], [504, 90], [508, 100], [506, 101], [529, 101], [524, 97], [551, 131], [539, 125], [526, 150], [531, 143], [522, 157], [526, 150], [519, 156], [524, 149], [521, 153], [526, 147], [570, 148], [565, 141], [520, 169], [528, 155], [548, 203], [568, 176], [556, 210], [577, 177], [531, 214], [564, 192]], 0]
[[[499, 102], [498, 97], [499, 97], [499, 96], [497, 97], [497, 97], [497, 96], [505, 92], [502, 92], [505, 102], [504, 103], [527, 103], [522, 98], [549, 133], [538, 124], [524, 153], [528, 143], [520, 160], [526, 149], [517, 159], [524, 149], [519, 156], [524, 148], [569, 147], [564, 139], [520, 169], [529, 157], [548, 203], [575, 174], [557, 209], [583, 175], [530, 214], [573, 189]], 0]
[[[496, 104], [495, 99], [495, 99], [496, 98], [494, 99], [494, 99], [495, 99], [501, 95], [499, 95], [502, 105], [501, 105], [523, 106], [520, 101], [545, 136], [535, 131], [523, 153], [525, 147], [517, 160], [522, 152], [516, 157], [519, 153], [517, 155], [522, 150], [570, 150], [566, 142], [519, 170], [523, 159], [548, 204], [544, 192], [557, 212], [554, 200], [531, 216], [531, 209]], 0]
[[[493, 107], [492, 102], [492, 101], [493, 101], [491, 102], [491, 102], [491, 101], [498, 97], [496, 97], [499, 107], [498, 108], [520, 107], [518, 102], [541, 138], [536, 131], [519, 156], [524, 151], [517, 164], [522, 156], [514, 160], [519, 154], [515, 158], [520, 153], [570, 149], [566, 143], [518, 167], [520, 160], [547, 203], [544, 194], [557, 210], [555, 201], [531, 216], [529, 211]], 0]
[[[492, 110], [489, 105], [490, 105], [490, 104], [489, 106], [489, 105], [489, 105], [495, 101], [494, 101], [497, 110], [496, 110], [516, 109], [514, 103], [540, 139], [536, 131], [518, 156], [535, 151], [515, 162], [534, 157], [513, 159], [522, 155], [514, 157], [524, 152], [569, 149], [566, 141], [517, 169], [519, 161], [549, 204], [542, 194], [557, 210], [554, 200], [532, 217], [529, 211]], 0]
[[[486, 113], [485, 109], [485, 108], [486, 108], [484, 109], [484, 109], [484, 108], [488, 105], [487, 105], [490, 113], [489, 114], [501, 111], [506, 110], [524, 132], [532, 125], [521, 156], [531, 146], [521, 161], [531, 151], [518, 162], [529, 152], [518, 161], [529, 151], [545, 119], [559, 115], [521, 162], [527, 161], [557, 190], [551, 196], [556, 198], [555, 200], [541, 209], [548, 215]], 0]
[[[482, 115], [482, 110], [483, 110], [483, 109], [481, 111], [481, 110], [481, 110], [486, 107], [484, 107], [486, 115], [485, 116], [502, 114], [503, 110], [528, 139], [523, 129], [517, 163], [519, 151], [520, 169], [519, 153], [516, 168], [516, 161], [516, 165], [516, 160], [544, 120], [546, 120], [515, 167], [532, 156], [545, 200], [560, 183], [554, 205], [558, 196], [539, 214], [559, 197]], 0]
[[[483, 114], [482, 111], [482, 111], [482, 110], [481, 111], [481, 110], [481, 110], [484, 109], [483, 108], [487, 114], [486, 115], [497, 114], [502, 112], [525, 139], [532, 128], [541, 163], [540, 154], [545, 167], [542, 158], [544, 167], [541, 162], [543, 165], [540, 162], [545, 123], [550, 124], [514, 167], [524, 152], [543, 197], [547, 183], [553, 204], [554, 185], [537, 214], [544, 201]], 0]
[[[482, 121], [479, 117], [479, 117], [480, 116], [479, 117], [479, 117], [479, 116], [483, 112], [482, 111], [487, 120], [487, 121], [504, 118], [505, 115], [521, 150], [523, 139], [503, 173], [525, 160], [501, 181], [525, 163], [500, 180], [518, 166], [501, 177], [517, 166], [558, 140], [559, 139], [514, 171], [520, 169], [545, 201], [546, 201], [556, 207], [557, 205], [531, 214], [534, 213]], 0]
[[[476, 122], [474, 119], [475, 119], [475, 119], [474, 119], [475, 118], [475, 117], [479, 116], [479, 114], [481, 123], [481, 122], [501, 124], [499, 115], [517, 151], [515, 143], [500, 173], [510, 166], [498, 181], [506, 172], [497, 179], [505, 173], [498, 176], [505, 172], [553, 136], [552, 131], [509, 163], [520, 164], [541, 197], [542, 195], [553, 204], [554, 202], [527, 214], [533, 211]], 0]
[[[479, 126], [475, 122], [476, 122], [476, 122], [475, 122], [475, 121], [475, 120], [479, 118], [479, 115], [484, 125], [484, 125], [498, 125], [502, 114], [511, 157], [519, 139], [496, 180], [521, 164], [494, 187], [520, 168], [492, 186], [513, 170], [493, 183], [512, 169], [554, 146], [557, 139], [511, 172], [528, 162], [546, 202], [545, 197], [556, 207], [556, 202], [529, 215], [531, 210]], 0]
[[[479, 129], [475, 126], [475, 125], [475, 125], [475, 125], [475, 124], [475, 123], [476, 122], [477, 118], [482, 128], [483, 127], [494, 128], [497, 114], [504, 159], [504, 145], [491, 184], [492, 171], [488, 191], [489, 179], [487, 190], [488, 180], [488, 187], [489, 178], [551, 147], [555, 139], [508, 172], [524, 156], [545, 203], [546, 185], [555, 209], [559, 187], [529, 218], [556, 194]], 0]
[[[475, 131], [472, 128], [472, 128], [472, 128], [472, 127], [472, 127], [472, 126], [474, 125], [474, 122], [478, 131], [478, 130], [493, 133], [491, 116], [500, 164], [495, 140], [486, 186], [481, 164], [483, 194], [479, 170], [482, 192], [479, 174], [484, 189], [481, 173], [552, 145], [551, 137], [506, 173], [514, 158], [546, 204], [546, 182], [557, 207], [558, 183], [532, 218], [555, 192]], 0]
[[[473, 133], [469, 131], [468, 131], [468, 131], [469, 130], [469, 129], [469, 128], [470, 129], [471, 124], [476, 133], [477, 132], [489, 137], [492, 117], [494, 170], [501, 131], [479, 193], [489, 153], [475, 201], [485, 157], [474, 200], [483, 158], [476, 198], [485, 158], [553, 151], [552, 140], [503, 176], [501, 161], [545, 202], [540, 195], [558, 206], [550, 198], [531, 217], [529, 209]], 0]
[[[473, 138], [469, 135], [469, 135], [469, 134], [469, 135], [468, 134], [468, 133], [470, 131], [471, 128], [476, 137], [477, 137], [487, 135], [491, 121], [488, 170], [495, 147], [471, 198], [484, 174], [467, 206], [480, 175], [465, 205], [478, 177], [467, 203], [479, 177], [550, 151], [550, 144], [502, 177], [506, 166], [545, 202], [542, 195], [556, 206], [553, 196], [533, 218], [534, 211]], 0]
