[[[649, 106], [656, 95], [660, 95], [663, 96], [643, 96], [638, 96], [634, 97], [670, 101], [629, 103], [658, 118], [641, 118], [705, 173], [600, 176], [716, 254], [585, 259], [711, 323], [592, 324], [712, 349], [590, 349], [704, 347], [598, 346], [701, 340], [601, 338], [681, 328], [621, 328], [682, 451], [625, 449], [677, 558], [632, 560], [671, 574], [638, 573], [686, 596], [627, 589]], 0]
[[[649, 106], [656, 95], [660, 95], [663, 96], [643, 96], [638, 96], [634, 97], [670, 101], [629, 103], [658, 118], [641, 118], [705, 173], [600, 176], [716, 254], [585, 259], [711, 323], [592, 324], [712, 349], [590, 349], [704, 347], [598, 346], [701, 340], [601, 338], [681, 328], [621, 328], [682, 451], [625, 449], [677, 558], [632, 560], [671, 574], [638, 573], [686, 596], [627, 589]], 0]
[[[649, 105], [656, 95], [660, 95], [663, 95], [643, 95], [638, 96], [634, 96], [671, 101], [629, 102], [658, 118], [641, 117], [705, 173], [600, 175], [716, 254], [585, 259], [711, 323], [592, 324], [712, 349], [590, 350], [704, 347], [598, 346], [701, 340], [601, 338], [682, 327], [621, 328], [682, 451], [625, 449], [677, 557], [632, 559], [671, 572], [638, 573], [685, 594], [624, 588]], 0]
[[[649, 105], [656, 94], [660, 94], [663, 95], [643, 95], [638, 96], [634, 96], [670, 100], [629, 102], [658, 117], [641, 117], [705, 173], [600, 175], [716, 254], [584, 258], [711, 322], [592, 324], [711, 349], [590, 350], [704, 347], [598, 346], [701, 340], [601, 338], [682, 327], [622, 328], [683, 452], [625, 449], [676, 558], [632, 560], [671, 574], [638, 574], [686, 595], [624, 589]], 0]
[[[649, 105], [657, 95], [660, 95], [664, 95], [643, 95], [638, 96], [634, 96], [671, 100], [629, 102], [659, 117], [641, 117], [705, 172], [599, 175], [716, 254], [584, 259], [711, 323], [591, 324], [711, 350], [590, 350], [704, 347], [598, 346], [701, 341], [601, 338], [682, 327], [622, 328], [682, 451], [625, 450], [676, 558], [632, 560], [671, 573], [638, 574], [685, 595], [624, 589]], 0]
[[[649, 105], [656, 94], [660, 94], [663, 95], [643, 95], [638, 95], [634, 96], [670, 100], [629, 102], [658, 117], [641, 117], [705, 172], [599, 174], [716, 255], [584, 258], [711, 322], [591, 324], [711, 349], [590, 349], [704, 347], [599, 346], [701, 340], [601, 338], [681, 327], [621, 328], [682, 451], [626, 448], [676, 558], [632, 558], [670, 573], [637, 571], [686, 595], [630, 588]], 0]
[[[649, 105], [656, 94], [660, 94], [663, 95], [643, 95], [638, 95], [634, 96], [670, 100], [629, 102], [658, 117], [641, 117], [705, 172], [599, 174], [716, 255], [584, 258], [711, 322], [591, 324], [712, 349], [591, 349], [704, 347], [599, 346], [701, 340], [601, 338], [681, 327], [621, 328], [683, 451], [626, 448], [676, 557], [632, 558], [670, 572], [637, 570], [686, 594], [630, 588]], 0]
[[[650, 105], [657, 94], [660, 94], [664, 95], [643, 95], [639, 95], [634, 96], [671, 100], [629, 101], [659, 117], [642, 117], [705, 172], [599, 174], [716, 254], [584, 258], [711, 323], [591, 323], [711, 350], [590, 349], [703, 347], [598, 346], [701, 341], [601, 338], [682, 327], [621, 327], [682, 451], [625, 449], [677, 555], [633, 560], [672, 569], [639, 573], [685, 591], [627, 590]], 0]
[[[650, 104], [657, 94], [660, 94], [664, 95], [643, 95], [639, 95], [634, 96], [671, 100], [629, 101], [659, 117], [642, 117], [705, 172], [599, 174], [716, 254], [584, 258], [711, 323], [591, 324], [711, 349], [590, 350], [703, 347], [598, 346], [701, 340], [601, 338], [682, 327], [621, 328], [682, 451], [625, 449], [677, 555], [632, 560], [671, 568], [638, 573], [685, 591], [624, 589]], 0]
[[[650, 104], [657, 94], [660, 94], [664, 94], [643, 94], [639, 95], [635, 95], [671, 100], [629, 101], [659, 117], [642, 117], [705, 173], [599, 174], [715, 254], [584, 259], [711, 322], [591, 324], [711, 349], [590, 350], [703, 347], [598, 346], [700, 340], [601, 338], [682, 328], [621, 328], [682, 452], [624, 449], [676, 558], [632, 560], [670, 574], [638, 574], [688, 595], [624, 589]], 0]
[[[650, 104], [657, 94], [660, 94], [664, 95], [644, 95], [639, 95], [635, 96], [671, 100], [629, 101], [659, 117], [642, 117], [705, 173], [599, 174], [715, 254], [584, 259], [711, 322], [591, 324], [711, 349], [590, 350], [703, 347], [598, 346], [700, 340], [601, 338], [682, 328], [621, 328], [682, 452], [625, 449], [676, 558], [632, 560], [671, 573], [638, 574], [687, 594], [624, 589]], 0]
